id,x,y,symbol
HG2838,2678753.349,1251821.408,double_white_circle
HGC3801,2678800.324,1251856.695,white_circle
HGD0831,2678813.754,1251839.875,white_circle
HGI4857,2678798.147,1251857.701,white_circle
HG04661,2678773.946,1251805.372,white_circle
HGI0830,2678793.557,1251796.307,white_circle
HG04660,2678752.919,1251758.218,white_circle
HGA0966,2678749.68,1251759.549,white_circle
HGF4674,2678751.298,1251763.178,white_circle
HGA4233,2678452.168,1251738.376,white_circle
HGB4233,2678436.687,1251731.357,white_circle
HGE4235,2678456.518,1251729.896,white_circle
HGF4235,2678441.747,1251721.467,white_circle
HG2580,2678437.112,1251723.661,double_white_circle
HGA4237,2678444.247,1251717.277,white_circle
HGH4356,2678442.149,1251711.329,white_circle
HGF4356,2678445.468,1251703.549,white_circle
HGG4356,2678443.979,1251707.169,white_circle
HGA4236,2678468.827,1251712.376,white_circle
HGB4236,2678476.717,1251703.466,white_circle
HGG4235,2678461.608,1251721.846,white_circle
HG3049,2678503.466,1251729.959,double_white_circle
HGD4356,2678455.419,1251691.659,white_circle
HGE4356,2678447.568,1251700.259,white_circle
HGF4357,2678451.868,1251695.429,white_circle
HGC4354,2678463.769,1251683.509,white_circle
HGD4236,2678486.878,1251693.346,white_circle
HGE4236,2678497.538,1251683.746,white_circle
HGB1280,2678563.301,1251732.45,white_circle
HGC1280,2678564.731,1251735.66,white_circle
HGC4290,2678583.841,1251755.128,white_circle
HGR6117,2678586.92,1251753.86,white_circle
HGN1152,2678570.46,1251725.489,white_circle
HGX6017,2678571.9,1251728.679,white_circle
HG3050,2678572.305,1251726.925,double_white_circle
HGD4290,2678633.041,1251734.866,white_circle
HGF4845,2678617.723,1251741.174,white_circle
HGC1152,2678631.551,1251703.777,white_circle
HGF1152,2678637.391,1251706.196,white_circle
HGH1152,2678621.861,1251707.827,white_circle
HGM1152,2678549.94,1251680.033,white_circle
HGD1152,2678630.171,1251700.567,white_circle
HGE1150,2678635.723,1251690.319,white_circle
HGE1152,2678632.611,1251694.677,white_circle
HG1371,2678637.094,1251700.409,double_white_circle
HGC1150,2678631.654,1251682.839,white_circle
HGE4290,2678646.882,1251729.165,white_circle
HGN1151,2678641.601,1251707.196,white_circle
HGP1151,2678656.682,1251743.724,white_circle
HGQ1151,2678653.451,1251745.054,white_circle
HGI1150,2678642.504,1251695.429,white_circle
HGL1150,2678650.753,1251697.388,white_circle
HGL1151,2678645.552,1251700.816,white_circle
HG0615,2678658.785,1251696.709,double_white_circle
HGR1150,2678646.095,1251687.321,white_circle
HGS1150,2678654.155,1251678.27,white_circle
HGM1150,2678668.472,1251699.624,white_circle
HGN1150,2678668.804,1251696.366,white_circle
HGP1150,2678705.924,1251694.284,white_circle
HGQ1150,2678706.223,1251697.572,white_circle
HG0614,2678706.173,1251696.622,double_white_circle
HGB1151,2678719.534,1251692.214,white_circle
HGC1151,2678720.233,1251695.431,white_circle
HGA0827,2678794.44,1251736.848,white_circle
HGB0827,2678795.98,1251740.517,white_circle
HG1367,2678775.82,1251746.248,double_white_circle
HGD1151,2678751.334,1251683.802,white_circle
HGE1151,2678752.203,1251686.979,white_circle
HGG1151,2678777.273,1251678.888,white_circle
HGH1151,2678787.453,1251677.857,white_circle
HGF1151,2678776.643,1251675.64,white_circle
HGI1151,2678787.343,1251674.539,white_circle
HGB1147,2678816.543,1251676.558,white_circle
HGC1147,2678816.083,1251679.836,white_circle
HG0613,2678814.103,1251677.766,double_white_circle
